account_value,date,daily_return
983223.6972112899,2022-04-04,
975489.898374086,2022-04-05,-0.007865757160999243
974984.0992233864,2022-04-06,-0.0005185078303144852
978226.7702461296,2022-04-07,0.003325870673507536
977216.1058560616,2022-04-08,-0.0010331596116652797
965309.9909338661,2022-04-11,-0.01218370721772477
964136.1305724808,2022-04-12,-0.0012160449725063804
973500.1915032517,2022-04-13,0.009712384624783965
965555.3972670113,2022-04-14,-0.008161060784150687
962516.9560958841,2022-04-18,-0.003146832568827751
978058.175342611,2022-04-19,0.016146436847995327
982950.2505745637,2022-04-20,0.005001824385588272
973427.7592416856,2022-04-21,-0.00968766356925177
951314.8169328897,2022-04-22,-0.02271657254362891
962276.4799388216,2022-04-25,0.011522645091635475
942031.198168001,2022-04-26,-0.021038944828109862
939614.225868204,2022-04-27,-0.0025657030303214423
957392.087505823,2022-04-28,0.01892038365127169
930124.6441960161,2022-04-29,-0.02848095745270196
929372.4325274028,2022-05-02,-0.0008087213614940136
928200.1000505312,2022-05-03,-0.0012614237692454289
951191.086481203,2022-05-04,0.02476942895117129
920125.6819739932,2022-05-05,-0.03265947815189463
916869.9992147464,2022-05-06,-0.0035383022374315676
908634.2278898143,2022-05-09,-0.008982485338145718
905709.2720396861,2022-05-10,-0.0032190685320330203
893557.2845187053,2022-05-11,-0.013417095193929196
897659.040456007,2022-05-12,0.004590367073680213
907722.9397992801,2022-05-13,0.01121127164068958
908617.6766208058,2022-05-16,0.0009856937423255996
914016.0249308567,2022-05-17,0.005941275906195864
913102.0723771759,2022-05-18,-0.000999930557836648
910840.3809879508,2022-05-19,-0.0024769316132827734
910705.2639234785,2022-05-20,-0.0001483432962487985
915772.0298600787,2022-05-23,0.005563562809302036
916055.8635247517,2022-05-24,0.00030993921567623595
917182.8589483204,2022-05-25,0.001230269319201005
922775.5913405933,2022-05-26,0.006097728863670326
929153.0534035891,2022-05-27,0.006911173337095677
924680.8930688114,2022-05-31,-0.004813157873609364
921406.0129869672,2022-06-01,-0.0035416326933884745
930133.8112275258,2022-06-02,0.009472260998455218
922849.31485277,2022-06-03,-0.00783166495704768
923222.2306048032,2022-06-06,0.0004040917038474756
928893.0428528576,2022-06-07,0.006142413018303872
922924.0283108731,2022-06-08,-0.006425943856412375
907673.5283826352,2022-06-09,-0.016524111910001027
889076.6707931769,2022-06-10,-0.02048848733376163
867909.9136842102,2022-06-13,-0.023807572287419365
866717.1256418595,2022-06-14,-0.0013743224078262006
877797.9505928215,2022-06-15,0.012784822894500891
861110.9814662308,2022-06-16,-0.01901003427419834
859213.55864337,2022-06-17,-0.002203459093774396
873844.573452086,2022-06-21,0.017028379803290195
872054.8839219307,2022-06-22,-0.0020480639057872674
876975.3678826354,2022-06-23,0.005642401701342115
906940.2764439757,2022-06-24,0.03416847229550757
900182.0258122429,2022-06-27,-0.007451704160974404
881592.3043319306,2022-06-28,-0.020651069391813937
881685.2306863732,2022-06-29,0.00010540740202236165
872060.9235216622,2022-06-30,-0.010915808533186633
879252.2440443978,2022-07-01,0.008246351061912849
879988.2190276018,2022-07-05,0.0008370464655496068
