account_rewards,date
-7733.798837203882,2022-04-04
-505.7991506996332,2022-04-05
3242.6710227432195,2022-04-06
-1010.6643900680356,2022-04-07
-11906.11492219544,2022-04-08
-1173.8603613852756,2022-04-11
9364.060930770822,2022-04-12
-7944.794236240326,2022-04-13
-3038.441171127255,2022-04-14
15541.219246726949,2022-04-18
4892.075231952709,2022-04-19
-9522.491332878126,2022-04-20
-22112.94230879587,2022-04-21
10961.663005931885,2022-04-22
-20245.281770820613,2022-04-25
-2416.972299796995,2022-04-26
17777.861637618975,2022-04-27
-27267.44330980687,2022-04-28
-752.2116686133668,2022-04-29
-1172.3324768715538,2022-05-02
22990.986430671765,2022-05-03
-31065.40450720978,2022-05-04
-3255.682759246789,2022-05-05
-8235.77132493211,2022-05-06
-2924.955850128201,2022-05-09
-12151.987520980765,2022-05-10
4101.75593730167,2022-05-11
10063.899343273137,2022-05-12
894.7368215256138,2022-05-13
5398.348310050904,2022-05-16
-913.9525536807487,2022-05-17
-2261.691389225074,2022-05-18
-135.1170644722879,2022-05-19
5066.765936600161,2022-05-20
283.8336646730313,2022-05-23
1126.9954235686455,2022-05-24
5592.732392272912,2022-05-25
6377.462062995764,2022-05-26
-4472.160334777669,2022-05-27
-3274.880081844167,2022-05-31
8727.798240558594,2022-06-01
-7284.496374755865,2022-06-02
372.91575203323737,2022-06-03
5670.812248054426,2022-06-06
-5969.014541984536,2022-06-07
-15250.49992823787,2022-06-08
-18596.85758945835,2022-06-09
-21166.757108966704,2022-06-10
-1192.7880423506722,2022-06-13
11080.824950961978,2022-06-14
-16686.969126590644,2022-06-15
-1897.422822860768,2022-06-16
14631.014808715903,2022-06-17
-1789.6895301552722,2022-06-21
4920.483960704762,2022-06-22
29964.9085613403,2022-06-23
-6758.250631732866,2022-06-24
-18589.72148031229,2022-06-27
92.92635444260668,2022-06-28
-9624.307164710946,2022-06-29
7191.320522735594,2022-06-30
735.9749832039233,2022-07-01
