date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-07-06,-24,100,-100,9,-100,-43,-86,93,-39,89,-81,-48,-100,-100,-60,62,72,1,-76,92,50,-33,5,-28,-5,0,-100,-91,100
2021-07-07,100,0,0,0,-11,80,-96,100,0,-61,0,0,100,-37,-69,100,0,-42,0,0,100,100,-5,0,0,0,0,-92,-96
2021-07-08,-5,0,-68,-73,-95,100,2,-84,0,-100,0,0,0,-100,55,-100,-100,0,-100,100,100,96,-21,-21,100,36,-9,-100,95
2021-07-09,-100,17,-30,-99,-100,100,-2,-100,100,-46,0,0,26,-100,90,-100,100,-55,-67,-19,-12,25,-28,-100,100,-36,0,34,97
2021-07-12,-15,100,100,-30,0,0,0,0,-16,0,0,0,100,-6,0,0,-100,-4,0,67,0,0,0,100,0,0,1,-38,-100
2021-07-13,-100,-43,-87,-100,37,86,0,47,-84,0,0,58,-100,11,34,-100,-4,0,0,-23,-38,-100,0,-100,-76,39,-1,43,21
2021-07-14,100,-100,5,-100,-65,100,0,100,0,0,0,88,100,-73,84,-100,0,61,100,-29,-31,46,0,-40,100,100,100,56,-100
2021-07-15,-1,-58,0,0,-76,0,0,0,100,0,0,0,100,0,0,0,0,-40,-14,-90,0,0,0,0,45,100,0,1,-100
2021-07-16,-28,-23,-17,-21,-5,100,0,-23,13,0,100,-100,0,0,0,-80,0,-21,100,-9,100,-100,100,-54,0,-100,-100,-100,0
2021-07-19,-1,0,-48,-93,0,100,0,0,-11,0,100,0,-23,0,0,0,2,32,-89,100,100,0,-48,-76,0,-100,0,-100,-19
2021-07-20,-100,-100,80,0,0,100,0,-75,0,0,52,-46,-78,0,35,0,44,-12,74,-36,-83,-52,100,-100,-100,100,0,53,8
2021-07-21,100,100,0,0,0,100,0,0,-90,0,-100,0,0,0,-100,0,-34,100,-61,0,0,0,-73,6,100,0,0,0,0
2021-07-22,-24,-100,-92,0,0,100,0,65,100,0,-100,0,0,0,100,0,-12,-67,-44,41,100,-53,100,-100,5,0,0,-100,100
