date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-07-23,-100,100,0,0,0,-11,1,-5,-11,0,0,0,-100,0,0,0,0,0,0,-25,0,96,100,-100,-59,100,0,0,-35
2021-07-26,-41,-75,0,0,0,-20,-1,0,100,87,-52,0,-100,0,100,0,0,100,-66,0,-52,0,0,0,0,0,0,-100,0
2021-07-27,-61,-60,0,0,0,-76,0,100,100,-87,100,0,-100,3,100,0,0,0,0,-100,0,78,100,-36,1,-60,0,-81,100
2021-07-28,-33,0,0,100,0,100,0,0,0,0,-100,0,-50,-3,100,0,0,-68,0,-5,0,95,0,-15,0,-67,0,-25,-9
2021-07-29,0,0,100,-100,100,100,0,-21,1,0,0,0,0,0,-47,0,0,-85,0,0,0,0,100,-100,-62,12,0,0,100
2021-07-30,0,0,0,0,-61,100,0,100,100,0,0,0,-38,0,-20,0,0,0,36,1,-6,-100,-5,-11,0,-72,0,0,0
2021-08-02,0,14,-14,0,-29,44,0,-100,76,0,0,26,-22,0,42,0,0,5,-36,-100,100,-50,-23,-6,-100,-52,0,73,-51
2021-08-03,100,-14,0,0,0,31,0,-74,0,0,0,-26,100,0,100,0,0,0,0,100,-27,-26,-41,0,-5,100,100,-73,-100
2021-08-04,0,0,90,0,-10,0,0,1,-93,0,0,0,-11,0,100,0,0,0,0,-100,0,0,0,0,0,0,-100,0,0
2021-08-05,0,0,-91,0,0,100,0,100,-33,0,0,0,-89,0,85,0,0,100,0,-47,100,-3,0,-99,-100,-100,0,0,100
2021-08-06,-67,0,-33,0,0,100,0,-28,100,0,100,0,0,0,0,0,0,58,0,0,0,-89,0,-100,-99,0,0,0,1
2021-08-09,-16,0,-20,0,0,0,0,-41,100,0,-16,0,0,0,87,0,0,-100,0,-57,0,100,52,-100,-35,0,0,0,98
2021-08-10,0,0,-32,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,-33,0,0,0,2,92
2021-08-11,0,0,0,0,0,0,0,-92,100,0,0,0,0,0,-57,0,0,0,0,0,0,-30,81,-37,0,0,0,2,0
2021-08-12,-17,0,0,0,0,-17,0,-63,0,0,0,0,0,0,0,0,0,-46,0,0,43,0,-25,0,0,0,0,-4,100
2021-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,-71,1,0,0,0,0,0,-30
2021-08-18,0,0,0,0,0,-14,0,0,-70,0,4,0,0,0,-69,0,0,-17,0,0,0,0,1,100,0,0,0,0,100
2021-08-19,0,0,100,0,0,0,100,0,0,0,-64,0,0,0,-32,0,0,0,0,1,0,85,100,-100,0,0,0,0,-56
2021-08-20,0,0,-63,0,0,0,-100,0,0,0,-14,0,0,0,100,0,1,0,0,-1,0,0,1,0,0,11,0,0,0
2021-08-23,0,0,0,0,0,0,0,0,100,0,51,0,0,0,-28,0,-1,0,0,0,-42,-85,2,0,0,-11,0,0,0
2021-08-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,-60
2021-08-26,0,0,-38,0,0,0,0,1,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2021-08-27,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,-13
2021-08-30,0,0,0,0,0,-55,2,0,0,0,0,0,56,0,-37,0,0,0,0,0,0,0,100,0,0,0,0,-2,0
2021-08-31,0,0,69,0,0,0,0,0,-17,0,0,0,-28,0,0,0,0,0,0,0,0,0,-34,0,0,0,0,0,0
2021-09-01,0,0,-69,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,82,0,-10,0,0,0,0,2,0
2021-09-02,0,0,0,0,0,-50,0,0,0,0,0,0,-28,0,100,0,0,0,0,0,-28,50,0,0,0,0,0,0,0
2021-09-03,0,0,0,0,0,44,-2,0,1,0,-6,0,0,0,0,0,0,0,0,100,-4,-50,0,0,0,0,0,-2,-54
2021-09-07,0,0,0,0,0,-2,0,0,-27,0,-38,0,100,0,100,0,0,0,0,0,0,0,0,19,0,0,0,0,-100
2021-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-19,22,0,0,0,-36
2021-09-09,0,0,0,0,0,0,1,0,0,0,0,0,-100,0,0,0,0,0,0,98,0,0,0,0,-22,0,0,0,100
2021-09-10,0,0,0,0,0,0,-1,0,-16,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-09-13,0,0,0,0,0,0,0,0,-42,0,0,0,-24,0,0,0,0,0,0,-53,0,1,0,0,0,0,0,0,100
2021-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-10,0,-1,0,0,0,0,0,1,0
2021-09-15,0,0,100,0,0,0,88,0,-100,0,0,0,0,0,-53,0,0,0,0,100,-42,0,-16,0,0,0,0,-2,100
2021-09-16,0,0,-92,0,0,20,-88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100
2021-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,-46
2021-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46,0,97,0,0,0,0,0,0
2021-09-21,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,2,0,0,0,0,0,-100
2021-09-22,0,0,100,0,0,0,0,0,-58,0,0,0,0,0,-100,0,0,-13,1,-100,79,0,0,0,0,0,0,0,-29
2021-09-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,28,0,-59,0,0,0,0,0,0
2021-09-24,0,0,-100,0,0,76,0,0,-37,0,0,0,0,0,-8,0,0,100,0,-24,0,0,-100,0,0,0,0,3,-38
2021-09-27,0,0,0,0,0,0,0,0,-100,0,0,0,0,5,0,0,0,-30,0,0,0,0,0,0,27,0,0,0,100
2021-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,82,0,0,0,0,0,0,0,0,0,-100
2021-09-29,0,0,0,0,0,0,0,0,0,0,0,0,38,0,-78,0,0,-84,0,0,0,0,100,0,0,0,0,1,100
2021-09-30,0,0,0,0,0,0,0,0,0,0,0,0,74,0,100,0,0,0,-69,-20,-43,0,0,0,0,0,0,1,0
