account_rewards,date
150.33896547707263,2021-04-06
657.9196997223189,2021-04-07
4519.713614433538,2021-04-08
-1255.0785999833606,2021-04-09
-1567.4544022406917,2021-04-12
-357.6332173498813,2021-04-13
6080.329448650125,2021-04-14
3372.1402172127273,2021-04-15
-3661.736995681771,2021-04-16
-4397.162100791815,2021-04-19
7228.726072044345,2021-04-20
-8403.868665718008,2021-04-21
7948.212215614272,2021-04-22
-3375.268938438385,2021-04-23
928.5397811165312,2021-04-26
-9914.538825683645,2021-04-27
7035.05471411522,2021-04-28
-5493.348644126905,2021-04-29
6107.418997791363,2021-04-30
-2797.7040423850995,2021-05-03
5586.8034743500175,2021-05-04
10318.568416786147,2021-05-05
8133.947935531614,2021-05-06
-4484.288012679899,2021-05-07
-17362.248054489144,2021-05-10
-16336.596851741895,2021-05-11
12863.402547180187,2021-05-12
17145.883086776827,2021-05-13
-866.291616291157,2021-05-14
-11604.943494571606,2021-05-17
-8933.656569480896,2021-05-18
6456.3287345391,2021-05-19
5093.681722160312,2021-05-20
4914.759704814991,2021-05-21
-7152.072776557994,2021-05-24
1557.2719433670864,2021-05-25
8223.340604488389,2021-05-26
2840.4640656356933,2021-05-27
7366.4245341644855,2021-05-28
2072.326243934571,2021-06-01
2918.4620834656525,2021-06-02
4035.409355869284,2021-06-03
-6008.932073291857,2021-06-04
-1275.3271323622903,2021-06-07
-7445.384161880473,2021-06-08
-4190.068574954988,2021-06-09
829.713908515987,2021-06-10
-6513.621468784404,2021-06-11
-2184.9874307555147,2021-06-14
-6975.716258548782,2021-06-15
-14156.988864208339,2021-06-16
-17020.145104454015,2021-06-17
19664.736086124438,2021-06-18
-607.0061094665434,2021-06-21
-436.5568009337876,2021-06-22
14947.359689243254,2021-06-23
931.9273415528005,2021-06-24
-8627.143858428928,2021-06-25
-1202.0998933258234,2021-06-28
7673.955397151993,2021-06-29
2008.0746085433057,2021-06-30
960.1512246170314,2021-07-01
