account_rewards,date
-18101.64321257011,2022-01-03
-33242.78869007877,2022-01-04
-1053.012368263211,2022-01-05
3308.4165346222,2022-01-06
-2533.392818019842,2022-01-07
6414.4995807837695,2022-01-10
938.8654038544046,2022-01-11
-3329.148354595178,2022-01-12
2688.8365205765003,2022-01-13
-8491.83703557204,2022-01-14
-8954.155553665129,2022-01-18
-10852.118909240817,2022-01-19
-7258.082804794307,2022-01-20
-6012.031405204674,2022-01-21
984.8041898612864,2022-01-24
-9280.031263793935,2022-01-25
398.95079814910423,2022-01-26
17030.541361305164,2022-01-27
-991.6083238486899,2022-01-28
2296.0920124053955,2022-01-31
3216.029774093884,2022-02-01
-16088.08182678232,2022-02-02
-4095.4935827635927,2022-02-03
3041.4248772964347,2022-02-04
11607.066723609925,2022-02-07
4970.714340950013,2022-02-08
-15030.82471894077,2022-02-09
-11842.184921264648,2022-02-10
-4726.28303527832,2022-02-11
11691.092170715332,2022-02-14
-1482.7933731079102,2022-02-15
-13324.03704071045,2022-02-16
-6572.49870300293,2022-02-17
-21182.174713134766,2022-02-18
-12128.927635192871,2022-02-22
-19.017486572265625,2022-02-23
22673.46701812744,2022-02-24
-760.6075439453125,2022-02-25
-12082.55867767334,2022-02-28
17229.08603668213,2022-03-01
-1174.0642013549805,2022-03-02
-4527.859390258789,2022-03-03
-13900.401420593262,2022-03-04
1341.571174621582,2022-03-07
9751.705551147461,2022-03-08
-2591.3207397460938,2022-03-09
-1858.552505493164,2022-03-10
-407.6995086669922,2022-03-11
15931.74577331543,2022-03-14
10572.437805175781,2022-03-15
11535.78776550293,2022-03-16
7160.230445861816,2022-03-17
-6210.044548034668,2022-03-18
5421.444778442383,2022-03-21
-11151.25806427002,2022-03-22
7199.872940063477,2022-03-23
4950.103271484375,2022-03-24
2369.8574829101562,2022-03-25
9896.742530822754,2022-03-28
-1879.5867233276367,2022-03-29
-13722.344055175781,2022-03-30
3764.516761779785,2022-03-31
