date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-05-19,-100,-10,0,0,0,0,-87,-100,0,0,-100,0,0,-25,0,0,-66,0,0,-6,-67,-100,-100,-36,0,-31,0,-4,-100
2022-05-20,0,0,0,0,94,100,0,77,100,79,18,36,14,100,0,15,100,99,0,0,62,24,100,100,15,100,100,0,100
2022-05-23,34,0,0,0,-94,-100,100,-24,-26,50,-18,83,100,95,0,58,96,-99,0,0,-50,4,-5,-90,98,20,77,0,-9
2022-05-24,-34,0,79,0,41,0,-100,26,33,-100,0,-100,-20,-2,4,24,100,75,43,0,93,-28,100,-10,100,15,72,16,3
2022-05-25,0,0,100,100,-2,12,0,-79,100,21,12,-19,-49,76,-4,100,57,-55,2,36,-76,3,-100,0,40,57,-80,-16,-94
2022-05-26,0,15,-68,100,-39,-12,0,0,100,-50,-12,0,-45,100,35,-100,-100,-20,10,100,-20,69,100,0,-17,67,-34,73,0
2022-05-27,0,-1,12,-100,0,0,100,32,-100,36,100,0,50,100,100,84,-6,0,-55,39,59,-71,23,0,15,17,-8,-46,0
2022-05-31,0,-14,2,87,100,23,-2,-32,-1,-11,-100,0,-15,59,-100,-100,-100,0,0,4,57,-1,-67,0,31,-100,-25,-27,100
2022-06-01,62,0,33,100,32,-11,14,0,91,-25,95,100,-35,100,83,26,-17,0,100,-9,100,0,-73,64,-86,100,-75,47,100
2022-06-02,100,0,100,100,-40,29,-100,76,-34,0,-60,48,0,100,33,-100,63,0,83,24,-66,10,-68,-64,-69,-54,100,40,-10
2022-06-03,-4,0,-100,-12,-50,37,-12,-30,-36,30,-5,-3,0,54,-11,-7,-21,100,-100,-90,85,-10,100,0,100,100,100,100,-21
2022-06-06,100,0,-74,100,57,-28,0,38,100,9,-19,18,3,51,-36,99,90,-100,65,55,-58,0,-100,0,-9,-9,-100,-84,21
2022-06-07,-60,31,64,90,-47,-50,0,-84,-29,-18,46,10,-3,-100,98,-99,100,0,-18,26,-33,100,-10,0,-100,-79,-100,-99,100
2022-06-08,-40,-11,-21,27,39,100,0,0,-31,-21,100,100,100,39,-2,0,-27,8,66,-8,-100,100,0,100,100,83,100,0,-32
2022-06-09,38,-20,-100,-100,-91,66,29,0,44,100,-86,31,-34,92,-100,38,-63,-3,51,-80,-4,100,94,0,-87,-76,20,-4,93
2022-06-10,-13,0,-27,-71,0,-32,-29,0,-10,92,38,100,11,-100,-78,100,-100,18,86,-93,-49,93,-94,-50,100,47,100,0,0
2022-06-13,88,0,28,-89,0,-100,80,100,55,37,19,-92,42,-94,-22,-58,-11,100,46,32,79,12,6,100,-58,78,-8,0,-100
2022-06-14,14,0,35,99,0,73,100,88,-14,-97,-85,-39,-9,-100,100,100,-100,100,-44,-36,-8,-39,-6,72,77,-76,-100,57,-28
2022-06-15,2,0,-39,14,66,64,58,-83,46,4,30,-100,100,-10,100,100,-5,-7,-27,100,-71,16,53,-58,-100,-94,45,100,9
2022-06-16,100,94,-24,-53,42,57,100,98,-100,81,-31,100,22,3,100,-19,-34,-2,-29,-88,40,56,0,100,9,-100,98,-57,-11
2022-06-17,-57,73,0,100,-100,100,-11,-75,-100,1,100,-2,90,100,76,-56,-22,95,-9,-12,100,35,100,-65,-100,-84,-90,66,-71
2022-06-21,-100,-100,0,-31,-8,9,72,5,-100,-61,-7,29,62,100,67,-100,0,-100,-80,0,-61,4,93,-16,-58,39,48,-21,-22
2022-06-22,-100,100,0,100,0,27,-11,84,-46,100,-81,-100,-40,-20,-100,-100,0,-100,46,0,73,100,-100,50,-1,100,-97,61,25
2022-06-23,-100,100,0,48,21,54,100,-31,10,100,-39,23,-73,-61,51,88,15,-100,-100,18,-100,100,-54,49,0,18,33,-21,-7
2022-06-24,8,20,0,-50,-21,100,100,-8,100,-100,-15,34,-69,58,0,14,-15,-9,-49,83,-52,13,-18,-100,32,48,11,-100,-95
2022-06-27,-38,-100,100,50,0,25,-100,81,-100,-49,34,10,-35,69,-100,-86,100,82,85,46,20,98,-11,-100,50,88,-27,-48,-51
2022-06-28,63,2,-100,-100,100,100,-42,0,100,100,-34,100,-48,78,-88,1,100,-11,100,-49,93,100,100,-22,-1,-100,0,-37,0
2022-06-29,100,-68,0,66,-100,-4,-100,84,-100,-30,100,22,-35,51,-62,89,45,-13,-28,-98,-100,100,38,-51,-4,-21,0,100,0
2022-06-30,100,100,100,0,0,-94,-100,100,-52,-37,100,-9,-84,100,0,-100,-100,0,0,0,-13,0,100,0,21,-82,-69,-100,0
2022-07-01,-38,54,0,0,100,100,-100,0,0,-100,0,100,0,-100,-8,100,1,0,-50,0,0,0,-55,-9,-3,-67,-79,61,0
