date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,70,-18,0,-98,-51,0,-16,-21,0,0,0,-11,0,0,-100,0,0,100,0,-93,91,0,0,0,0,0,0,0,0
2022-04-05,0,0,0,-100,0,0,-27,-100,0,26,-100,-41,93,100,100,0,-75,100,0,-23,-91,2,0,100,0,100,100,-100,0
2022-04-06,68,40,0,-25,1,0,-97,-100,80,-26,0,-6,-93,-11,-100,55,-100,100,0,-65,69,100,0,0,0,-100,100,-100,0
2022-04-07,-22,0,0,-100,-11,91,-100,0,0,0,0,0,0,-34,-57,-49,2,0,100,-22,100,-100,0,-78,0,100,-100,-82,0
2022-04-08,0,-100,0,100,-53,100,-7,-100,0,0,7,0,0,-35,100,2,0,-100,-20,100,0,-100,0,0,100,-100,0,-91,0
2022-04-11,0,-26,0,-17,-43,-100,-39,84,-40,99,-14,-100,0,-20,100,0,1,100,94,-4,-75,-100,6,46,0,-98,-10,-27,100
2022-04-12,100,100,0,-43,0,100,-5,0,-40,-17,65,-95,0,0,92,100,-95,-65,-75,0,0,-100,-6,-52,0,-12,0,0,-100
2022-04-13,-22,-73,0,-19,-86,0,0,-20,0,0,-1,-100,100,0,0,-34,87,0,0,-29,100,0,0,-16,100,-100,-45,0,0
2022-04-14,-4,-100,100,-71,90,37,100,-32,0,24,-100,69,28,100,88,21,-100,-72,96,-100,-38,-2,100,100,-64,-90,-44,0,0
2022-04-18,-19,-99,-27,48,-100,95,50,98,3,-74,-7,1,31,75,100,-64,10,-20,5,15,100,26,52,75,-100,0,64,63,24
2022-04-19,-81,-1,100,100,-39,-43,2,72,0,-32,0,-38,0,92,100,0,0,78,0,-21,-68,95,-27,100,-36,60,0,-63,0
2022-04-20,-69,0,-100,0,53,45,-100,-100,-3,100,22,0,77,-92,0,-31,-32,0,100,-58,0,-43,-100,-40,0,-45,2,100,100
2022-04-21,-32,0,100,-100,-88,99,100,0,0,0,-100,-79,100,100,-54,100,100,0,-8,0,-29,-7,98,-100,72,0,9,100,-71
2022-04-22,-73,1,5,100,96,-100,-100,-51,0,-74,16,0,-94,-24,100,-5,-95,-100,-53,7,12,100,-100,3,100,74,-76,-29,-53
2022-04-25,-23,0,0,100,0,-9,100,0,100,7,100,100,-47,0,100,-95,0,0,-100,-7,0,-76,-23,0,-100,0,2,0,0
2022-04-26,-78,0,-100,-38,0,-100,-7,0,-100,0,100,-61,-57,100,-76,0,0,0,0,100,-16,100,0,1,85,0,-2,100,0
2022-04-27,0,0,0,0,100,100,0,-100,0,0,0,-39,66,0,-8,0,100,0,0,0,0,-100,0,-100,0,-3,0,0,0
2022-04-28,-32,100,100,0,-100,72,57,-30,28,-33,100,70,-96,-3,0,0,-29,-100,-80,-35,-100,0,0,-39,0,100,100,-17,0
2022-04-29,0,100,0,-100,0,-52,0,0,-5,0,0,-70,19,0,-86,0,-68,100,0,100,0,0,0,0,0,0,-23,1,0
2022-05-02,0,0,0,-42,-41,-100,1,100,0,0,71,0,0,-37,-32,0,2,0,-51,100,-32,-15,0,0,-4,0,-22,0,100
2022-05-03,-1,-100,1,-85,-53,100,-32,-28,100,0,-36,0,0,-16,0,0,0,-34,-3,-100,-23,100,100,0,78,-25,2,-45,-4
2022-05-04,1,-100,-100,100,100,0,-100,0,100,0,14,0,-100,100,0,0,0,0,-5,0,0,0,-21,0,-17,0,0,-50,100
2022-05-05,30,0,0,-100,100,-99,-95,0,0,0,0,0,0,1,100,0,-4,100,0,0,0,-100,0,0,0,-1,-57,-100,-80
2022-05-06,0,0,-79,-10,-100,0,-8,-72,100,65,100,0,100,1,-100,0,-33,-31,0,-41,40,-80,100,100,-26,-68,0,100,-44
2022-05-09,-66,-4,97,1,-100,-48,100,100,100,-65,-97,0,-43,-100,-61,14,44,-49,0,-20,-40,0,27,-50,10,62,0,100,-72
2022-05-10,-46,-100,-36,67,-75,0,-18,-76,-100,15,100,0,-59,-5,59,-14,-92,100,89,100,100,0,100,77,16,-100,0,43,24
2022-05-11,0,-20,-61,-45,0,100,100,-6,-69,100,100,0,0,0,-69,0,0,-100,0,-3,-100,0,85,100,0,-4,0,100,-24
2022-05-12,0,88,0,-23,0,0,0,-18,0,0,-14,0,-21,3,0,0,-23,0,0,0,100,0,0,0,-100,0,0,0,100
2022-05-13,0,87,0,0,0,0,-59,0,0,0,-5,0,0,100,-80,0,0,0,0,-79,0,0,0,1,0,0,0,0,0
2022-05-16,-62,0,100,0,0,-67,-61,100,76,-81,0,0,0,-58,-49,0,0,16,0,-13,0,100,100,0,-100,100,0,56,100
2022-05-17,0,-175,-100,0,0,-221,-145,-100,-330,-34,-721,0,-4,-337,-923,0,0,-423,-89,-109,-100,-100,-491,-228,-14,-150,0,-459,-200
2022-05-18,100,10,0,0,0,0,87,100,0,0,100,0,0,25,0,0,66,0,0,6,67,100,100,36,0,31,0,4,100
