account_value,date,daily_return
1068997.279440614,2022-01-03,
1050895.6362280438,2022-01-04,-0.01693329212403827
1017652.847537965,2022-01-05,-0.031632816374988826
1016599.8351697018,2022-01-06,-0.0010347461521980073
1019908.251704324,2022-01-07,0.003254394128511695
1017374.8588863042,2022-01-10,-0.002483941877895801
1023789.358467088,2022-01-11,0.006304951930702796
1024728.2238709424,2022-01-12,0.0009170493872490137
1021399.0755163472,2022-01-13,-0.0032488110281760907
1024087.9120369237,2022-01-14,0.002632503381909901
1015596.0750013517,2022-01-18,-0.008292097715206559
1006641.9194476865,2022-01-19,-0.00881665041256996
995789.8005384457,2022-01-20,-0.010780515593067141
988531.7177336514,2022-01-21,-0.007288769980240528
982519.6863284467,2022-01-24,-0.006081778963034301
983504.490518308,2022-01-25,0.0010023251478465944
974224.4592545141,2022-01-26,-0.00943567757265995
974623.4100526632,2022-01-27,0.00040950603770961713
991653.9514139683,2022-01-28,0.01747397116224092
990662.3430901197,2022-01-31,-0.0009999539884197883
992958.435102525,2022-02-01,0.002317734219354106
996174.4648766189,2022-02-02,0.0032388362497386414
980086.3830498366,2022-02-03,-0.0161498636975953
975990.889467073,2022-02-04,-0.004178706748296235
979032.3143443695,2022-02-07,0.0031162431023892267
990639.3810679794,2022-02-08,0.01185565231458452
995610.0954089294,2022-02-09,0.005017682959051362
980579.2706899886,2022-02-10,-0.01509709954554761
968737.085768724,2022-02-11,-0.012076723703257408
964010.8027334457,2022-02-14,-0.004878808816870972
975701.894904161,2022-02-15,0.012127553070531372
974219.1015310531,2022-02-16,-0.001519719681648879
960895.0644903426,2022-02-17,-0.013676632925561427
954322.5657873397,2022-02-18,-0.006839975503973417
933140.3910742049,2022-02-22,-0.0221960325287488
921011.4634390121,2022-02-23,-0.012997966598820576
920992.4459524398,2022-02-24,-2.064847977167883e-05
943665.9129705672,2022-02-25,0.024618515730256307
942905.3054266219,2022-02-28,-0.0008060135832934634
930822.7467489486,2022-03-01,-0.012814180393445285
948051.8327856307,2022-03-02,0.01850952407089057
946877.7685842757,2022-03-03,-0.0012383966369278188
942349.909194017,2022-03-04,-0.004781883724050862
928449.5077734237,2022-03-07,-0.014750785546827405
929791.0789480453,2022-03-08,0.0014449586793781055
939542.7844991927,2022-03-09,0.010488060997724702
936951.4637594466,2022-03-10,-0.002758065712917368
935092.9112539535,2022-03-11,-0.0019836166305091663
934685.2117452865,2022-03-14,-0.00043599892990342504
950616.9575186019,2022-03-15,0.0170450388784551
961189.3953237777,2022-03-16,0.011121659172557807
972725.1830892806,2022-03-17,0.012001576194686558
979885.4135351424,2022-03-18,0.007361000383604432
973675.3689871078,2022-03-21,-0.0063375211654908
979096.8137655501,2022-03-22,0.005568020873406798
967945.5557012801,2022-03-23,-0.01138933137917475
975145.4286413436,2022-03-24,0.007438303629430099
980095.531912828,2022-03-25,0.0050762718319679045
982465.3893957381,2022-03-28,0.002417986212308376
992362.1319265609,2022-03-29,0.010073375243182525
990482.5452032333,2022-03-30,-0.0018940532521919407
976760.2011480575,2022-03-31,-0.013854200784891302
980524.7179098373,2022-04-01,0.003854084920080769
