account_rewards,date
1482.997157199774,2021-07-06
-7722.809638591716,2021-07-07
12830.944605026278,2021-07-08
1673.0440318756737,2021-07-09
-2607.8593061141437,2021-07-12
-330.57457934191916,2021-07-13
573.8780845565489,2021-07-14
-3575.4281690063654,2021-07-15
-18732.49820880883,2021-07-16
9386.46617143252,2021-07-19
5129.6999598083785,2021-07-20
5305.789644340519,2021-07-21
6149.72117102053,2021-07-22
-1227.0708342742873,2021-07-23
-3560.912108173361,2021-07-26
-6139.312967014383,2021-07-27
2972.7797106629005,2021-07-28
-3481.946180847124,2021-07-29
-1186.6404164505657,2021-07-30
5350.278562126216,2021-08-02
528.7262491531437,2021-08-03
10715.46435285185,2021-08-04
162.09200321964454,2021-08-05
-2842.6648741455283,2021-08-06
-8203.110314735444,2021-08-09
630.266912239138,2021-08-10
12502.382499275147,2021-08-11
9214.342122551054,2021-08-12
-543.7903442382812,2021-08-13
-6029.933258056641,2021-08-16
259.3540183104342,2021-08-17
8887.754756652866,2021-08-18
12746.855916206376,2021-08-19
6333.58630060195,2021-08-20
-5787.193965759245,2021-08-23
-68.38193583674729,2021-08-24
4578.296248352039,2021-08-25
319.08433294668794,2021-08-26
2203.5483806687407,2021-08-27
-561.2759080124088,2021-08-30
6716.433626937796,2021-08-31
-5376.082794967573,2021-09-01
3849.027644805843,2021-09-02
-5508.385917716892,2021-09-03
-2734.1295426788274,2021-09-07
-9611.126589386025,2021-09-08
-8395.638161537237,2021-09-09
-3408.6240554122487,2021-09-10
-692.4263523864793,2021-09-13
7869.4909504966345,2021-09-14
4726.486608886742,2021-09-15
-4111.610338424682,2021-09-16
-12380.917870010366,2021-09-17
-1930.3639630584512,2021-09-20
4657.618887252873,2021-09-21
29081.40320967103,2021-09-22
9815.231879142812,2021-09-23
-14455.18717232137,2021-09-24
-22117.728188343113,2021-09-27
-162.23838127136696,2021-09-28
-6784.84358272166,2021-09-29
10786.857832912472,2021-09-30
