date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-06-02,-28,13,2,0,-14,0,0,-51,33,-33,-26,58,4,-42,-66,-29,-60,-76,57,100,57,21,100,-65,-7,100,-64,-30,35
2021-06-03,100,-47,87,0,-23,0,86,19,-33,-56,50,82,-14,-38,-41,-100,0,-61,79,-1,-65,-40,-65,11,-78,17,36,-45,22
2021-06-04,-34,42,-100,100,1,0,93,43,0,-33,100,-100,-39,60,0,74,0,-39,-21,100,100,-23,76,3,-15,-14,100,-85,-59
2021-06-07,94,0,-3,96,0,0,-21,-100,0,0,100,46,-100,0,0,-11,0,0,-100,100,77,57,-33,0,0,-61,22,-36,0
2021-06-08,0,100,0,100,100,0,100,-86,0,0,-100,-100,-100,100,0,0,0,71,-75,100,-80,0,1,100,0,0,-42,0,-65
2021-06-09,100,-100,0,-28,-100,100,75,0,0,-100,85,-56,-59,-46,0,-41,60,-100,100,87,-86,-90,69,-100,0,-43,100,76,37
2021-06-10,0,-42,0,100,100,-4,-53,0,0,100,-100,70,0,-51,0,100,0,0,100,0,0,-4,100,-93,0,0,-63,2,0
2021-06-11,-26,0,0,100,0,-36,1,0,0,-12,-6,-75,-100,100,0,100,-42,-3,11,0,-51,0,100,100,0,-30,73,-100,-25
2021-06-14,-67,100,0,0,0,100,-100,0,0,77,-60,0,1,0,100,-100,100,-100,-100,0,0,0,-98,100,0,-45,0,0,0
2021-06-15,100,-84,0,18,-100,-33,-53,0,0,-100,15,-44,53,100,-76,-16,87,54,-12,1,56,0,-100,100,42,98,-100,-50,68
2021-06-16,-73,100,9,100,100,52,-18,0,100,26,-61,19,-100,27,100,-89,-62,-100,100,92,-56,0,-53,-100,-42,-100,-74,63,8
2021-06-17,100,76,0,98,-78,0,-100,0,61,-49,53,-19,42,-93,-32,-100,-15,28,-1,1,0,60,-84,0,0,-22,-100,100,-94
2021-06-18,0,0,-9,-47,0,-32,93,0,0,0,-11,0,76,100,98,0,-22,-96,0,-65,0,0,-13,90,0,0,1,100,0
2021-06-21,74,-100,90,0,0,0,100,0,0,-7,-73,0,0,100,0,0,1,0,0,-100,100,0,0,0,0,0,-28,-100,0
2021-06-22,0,-92,-90,100,0,-40,1,0,100,0,73,0,0,-28,0,-100,-17,0,-92,0,-56,8,0,-100,63,100,-13,-93,0
2021-06-23,0,100,0,76,100,100,-100,0,-17,-100,-100,0,1,-100,-65,0,1,0,100,0,0,-50,0,-44,0,0,0,-69,0
2021-06-24,8,27,100,-68,-100,-100,0,68,-100,-69,12,67,-100,-100,-65,-96,11,0,-2,-87,-44,-18,7,100,100,-35,87,29,91
2021-06-25,0,-24,0,-36,0,-64,100,0,0,72,85,18,-22,100,100,0,2,0,0,0,0,0,-7,82,-80,100,0,97,-16
2021-06-28,-86,-61,47,-60,5,0,0,64,-84,-100,100,63,62,-63,-2,57,0,0,0,-15,100,70,0,74,-19,-88,-31,100,-23
2021-06-29,-1,0,97,0,-39,100,100,-98,-19,0,19,0,-15,-9,-80,0,0,0,-71,-100,0,0,0,100,0,-77,-88,0,100
2021-06-30,-100,100,71,-75,0,-100,-100,-34,-2,0,-74,-100,55,63,68,100,-73,0,26,-42,60,1,49,0,56,0,80,100,-100
2021-07-01,-67,0,-58,-67,66,0,-22,0,0,-95,-88,0,88,100,-17,0,1,100,84,-100,34,0,0,-33,70,0,0,-40,61
