account_rewards,date
7194.070350540103,2021-10-04
11271.928944534273,2021-10-05
4000.349964324967,2021-10-06
-3562.8412452545017,2021-10-07
1051.655266342219,2021-10-08
4825.6948872146895,2021-10-11
10710.314059898374,2021-10-12
17813.00376365264,2021-10-13
5312.203511875356,2021-10-14
3025.490767700132,2021-10-15
6079.793202171335,2021-10-18
-1348.1058278351557,2021-10-19
3473.3110885620117,2021-10-20
6202.930854797363,2021-10-21
4089.7902603149414,2021-10-22
2783.922576904297,2021-10-25
9494.600372314453,2021-10-26
8574.327644348145,2021-10-27
10832.029468536377,2021-10-28
2829.159397125244,2021-10-29
4842.286262512207,2021-11-01
2190.3863830566406,2021-11-02
12192.558052062988,2021-11-03
-3619.2154998779297,2021-11-04
2626.1840286254883,2021-11-05
-188.82684326171875,2021-11-08
-21024.434352874756,2021-11-09
6275.7399559021,2021-11-10
8399.431838989258,2021-11-11
-3269.804153442383,2021-11-12
-915.497688293457,2021-11-15
-733.0429801940918,2021-11-16
-3325.510414123535,2021-11-17
-2710.9305114746094,2021-11-18
-4668.2069664001465,2021-11-19
-7092.552898406982,2021-11-22
-2481.4774131774902,2021-11-23
-19158.428050994873,2021-11-24
21990.697784423828,2021-11-26
-29812.703647613525,2021-11-29
-55021.16111755371,2021-11-30
11547.080978393555,2021-12-01
-5117.638160705566,2021-12-02
7875.057033538818,2021-12-03
19380.870861053467,2021-12-06
-2823.777156829834,2021-12-07
-866.0815773010254,2021-12-08
17324.849464416504,2021-12-09
2538.7314987182617,2021-12-10
-22753.057823181152,2021-12-13
14615.513610839844,2021-12-14
-22103.4881439209,2021-12-15
-11825.699661254883,2021-12-16
-11120.577659606934,2021-12-17
15549.333190917969,2021-12-20
7428.749515533447,2021-12-21
1919.7858924865723,2021-12-22
18604.394290924072,2021-12-23
-1246.8608322143555,2021-12-27
152.28651428222656,2021-12-28
-1498.4004287719727,2021-12-29
-1494.8763885498047,2021-12-30
